[unsup] epoch 460/800  loss=7551.9362
[unsup] epoch 461/800  loss=8567.6275
[unsup] epoch 462/800  loss=7509.1566
[unsup] epoch 463/800  loss=7377.4473
[unsup] epoch 464/800  loss=7221.3171
[unsup] epoch 465/800  loss=7211.9399
[unsup] epoch 466/800  loss=7322.5743
[unsup] epoch 467/800  loss=7721.8973
[unsup] epoch 468/800  loss=7396.7671
[unsup] epoch 469/800  loss=7500.5921
[unsup] epoch 470/800  loss=7372.5199
[unsup] epoch 471/800  loss=7233.3004
[unsup] epoch 472/800  loss=7321.4626
[unsup] epoch 473/800  loss=7302.5454
[unsup] epoch 474/800  loss=7238.6003
[unsup] epoch 475/800  loss=7449.1621
[unsup] epoch 476/800  loss=7505.5838
[unsup] epoch 477/800  loss=7233.2062
[unsup] epoch 478/800  loss=7302.6731
[unsup] epoch 479/800  loss=7285.0392
[unsup] epoch 480/800  loss=7345.1529
[unsup] epoch 481/800  loss=7212.6962
[unsup] epoch 482/800  loss=7114.6551
[unsup] epoch 483/800  loss=7212.9411
[unsup] epoch 484/800  loss=7227.2589
[unsup] epoch 485/800  loss=7747.7833
[unsup] epoch 486/800  loss=7297.6307
[unsup] epoch 487/800  loss=7243.8843
[unsup] epoch 488/800  loss=7329.2401
[unsup] epoch 489/800  loss=7247.8669
[unsup] epoch 490/800  loss=7201.3444
[unsup] epoch 491/800  loss=7501.5291
[unsup] epoch 492/800  loss=7220.5520
[unsup] epoch 493/800  loss=7254.6951
[unsup] epoch 494/800  loss=7190.8733
[unsup] epoch 495/800  loss=7214.8062
[unsup] epoch 496/800  loss=7292.9843
[unsup] epoch 497/800  loss=7151.0196
[unsup] epoch 498/800  loss=7369.9132
[unsup] epoch 499/800  loss=7312.9948
[unsup] epoch 500/800  loss=7324.7003
[unsup] epoch 501/800  loss=7690.3209
[unsup] epoch 502/800  loss=7244.1714
[unsup] epoch 503/800  loss=7237.8194
[unsup] epoch 504/800  loss=7204.3684
[unsup] epoch 505/800  loss=7241.8480
[unsup] epoch 506/800  loss=7264.0593
[unsup] epoch 507/800  loss=7197.0041
[unsup] epoch 508/800  loss=7337.1714
[unsup] epoch 509/800  loss=7550.4363
[unsup] epoch 510/800  loss=7335.7631
[unsup] epoch 511/800  loss=7345.5221
[unsup] epoch 512/800  loss=7474.2946
[unsup] epoch 513/800  loss=7452.0940
[unsup] epoch 514/800  loss=7406.7118
[unsup] epoch 515/800  loss=7154.5357
[unsup] epoch 516/800  loss=7235.5907
[unsup] epoch 517/800  loss=7211.5655
[unsup] epoch 518/800  loss=7287.1636
[unsup] epoch 519/800  loss=7577.1577
[unsup] epoch 520/800  loss=7208.7261
[unsup] epoch 521/800  loss=7088.0514
[unsup] epoch 522/800  loss=7228.6759
[unsup] epoch 523/800  loss=7167.6853
[unsup] epoch 524/800  loss=7154.3379
[unsup] epoch 525/800  loss=7086.3321
[unsup] epoch 526/800  loss=7082.0800
[unsup] epoch 527/800  loss=7195.3967
[unsup] epoch 528/800  loss=7285.9140
[unsup] epoch 529/800  loss=7471.7976
[unsup] epoch 530/800  loss=7379.8881
[unsup] epoch 531/800  loss=7356.5887
[unsup] epoch 532/800  loss=7195.3513
[unsup] epoch 533/800  loss=7114.6172
[unsup] epoch 534/800  loss=7246.4165
[unsup] epoch 535/800  loss=7161.9908
[unsup] epoch 536/800  loss=8275.4160
[unsup] epoch 537/800  loss=7223.9390
[unsup] epoch 538/800  loss=7075.0946
[unsup] epoch 539/800  loss=7116.2838
[unsup] epoch 540/800  loss=7198.5553
[unsup] epoch 541/800  loss=7172.0690
[unsup] epoch 542/800  loss=7159.7570
[unsup] epoch 543/800  loss=7198.3566
[unsup] epoch 544/800  loss=7161.9793
[unsup] epoch 545/800  loss=7166.1906
[unsup] epoch 546/800  loss=7252.4076
[unsup] epoch 547/800  loss=7410.3941
[unsup] epoch 548/800  loss=7553.0105
[unsup] epoch 549/800  loss=7131.2571
[unsup] epoch 550/800  loss=7113.7228
[unsup] epoch 551/800  loss=7079.6154
[unsup] epoch 552/800  loss=7152.0043
[unsup] epoch 553/800  loss=7197.0036
[unsup] epoch 554/800  loss=7411.5210
[unsup] epoch 555/800  loss=7133.8584
[unsup] epoch 556/800  loss=7218.9067
[unsup] epoch 557/800  loss=7246.6442
[unsup] epoch 558/800  loss=7119.4468
[unsup] epoch 559/800  loss=7123.9704
[unsup] epoch 560/800  loss=7337.5851
[unsup] epoch 561/800  loss=7309.8845
[unsup] epoch 562/800  loss=7289.5136
[unsup] epoch 563/800  loss=7242.4237
[unsup] epoch 564/800  loss=7269.8663
[unsup] epoch 565/800  loss=7295.8680
[unsup] epoch 566/800  loss=7158.8438
[unsup] epoch 567/800  loss=7201.3096
[unsup] epoch 568/800  loss=7053.4197
[unsup] epoch 569/800  loss=7103.7550
[unsup] epoch 570/800  loss=7261.4053
[unsup] epoch 571/800  loss=7188.8560
[unsup] epoch 572/800  loss=7385.6020
[unsup] epoch 573/800  loss=7070.0228
[unsup] epoch 574/800  loss=7219.2004
[unsup] epoch 575/800  loss=7173.0760
[unsup] epoch 576/800  loss=7136.1162
[unsup] epoch 577/800  loss=7150.2497
[unsup] epoch 578/800  loss=7110.1211
[unsup] epoch 579/800  loss=7074.4609
[unsup] epoch 580/800  loss=7121.1104
[unsup] epoch 581/800  loss=7198.1834
[unsup] epoch 582/800  loss=7141.9703
[unsup] epoch 583/800  loss=7101.3869
[unsup] epoch 584/800  loss=7078.6780
[unsup] epoch 585/800  loss=7186.6811
[unsup] epoch 586/800  loss=7353.0162
[unsup] epoch 587/800  loss=7305.3839
[unsup] epoch 588/800  loss=7073.4185
[unsup] epoch 589/800  loss=7140.9647
[unsup] epoch 590/800  loss=7127.7781
[unsup] epoch 591/800  loss=7141.6262
[unsup] epoch 592/800  loss=7026.5573
[unsup] epoch 593/800  loss=7195.8584
[unsup] epoch 594/800  loss=7121.3028
[unsup] epoch 595/800  loss=7149.4642
[unsup] epoch 596/800  loss=7156.6978
[unsup] epoch 597/800  loss=7227.1079
[unsup] epoch 598/800  loss=7047.2814
[unsup] epoch 599/800  loss=7064.3480
[unsup] epoch 600/800  loss=7211.6024
[unsup] epoch 601/800  loss=7059.9776
[unsup] epoch 602/800  loss=7124.5773
[unsup] epoch 603/800  loss=7184.7072
[unsup] epoch 604/800  loss=7135.3725
